Model;Code;Iteration;Main line code;Auxiliary line code;Comments line;Refactor line;Crop2ML-generated inputs;AI-generated inputs;True positive inputs;False positive inputs;False negative inputs;Precision inputs;Recall inputs;F1-Score inputs;nb_parameter;nb_parameter_ok;nb_state;nb_state_ok;nb_rate;nb_rate_ok;nb_exogenous;nb_exogenous_ok;nb_auxiliary;nb_auxiliary_ok;nb_int;nb_int_ok;nb_double;nb_double_ok;nb_doublearray;nb_doublearray_ok;nb_doublelist;nb_doublelist_ok;nb_char;nb_char_ok;nb_date;nb_date_ok;nb_intarray;nb_intarray_ok;nb_len;nb_len_ok;Crop2ML-generated outputs;AI-generated outputs;True positive outputs;False positive outputs;False negative outputs;Precision outputs;Recall outputs;F1-Score outputs;nb_int_out;nb_int_ok_out;nb_double_out;nb_double_ok_out;nb_doublearray_out;nb_doublearray_ok_out;nb_doublelist_out;nb_doublelist_ok_out;nb_char_out;nb_char_ok_out;nb_date_out;nb_date_ok_out;nb_intarray_out;nb_intarray_ok_out;nb_len_out;nb_len_ok_out;Crop2ML-generated functions;AI-generated functions;True positive functions;False positive functions;False negative functions;Precision functions;Recall functions;F1-Score functions
DSSAT_ST_standalone;DS;Final;0;0;0;0;25;24;23;1;2;0.9583333333333334;0.92;0.9387755102040817;10;5;8;5;0;0;5;3;0;0;1;1;12;12;9;0;0;0;0;0;0;0;0;0;9;1;7;5;5;0;2;1.0;0.7142857142857143;0.8333333333333333;0;0;3;3;2;0;0;0;0;0;0;0;0;0;2;1;1;4;1;3;0;0.25;1.0;0.4
Simplace_Soil_Temperature;SA;1;0;0;0;0;10;11;10;1;0;0.9090909090909091;1.0;0.9523809523809523;5;5;3;3;0;0;1;1;1;0;0;0;6;6;4;0;0;0;0;0;0;0;0;0;4;0;2;3;2;1;0;0.6666666666666666;1.0;0.8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0.0;0;0
Simplace_Soil_Temperature;SA;2;0;0;0;0;10;11;10;1;0;0.9090909090909091;1.0;0.9523809523809523;5;5;3;3;0;0;1;1;1;0;0;0;6;6;4;0;0;0;0;0;0;0;0;0;4;0;2;3;2;1;0;0.6666666666666666;1.0;0.8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0.0;0;0
Simplace_Soil_Temperature;SA;Final;0;0;0;0;10;11;10;1;0;0.9090909090909091;1.0;0.9523809523809523;5;5;3;3;0;0;1;1;1;0;0;0;6;6;4;0;0;0;0;0;0;0;0;0;4;0;2;3;2;1;0;0.6666666666666666;1.0;0.8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0.0;0;0
SQ_Soil_Temperature;SQ;1;0;0;0;0;7;7;7;0;0;1.0;1.0;1.0;1;1;1;1;1;1;4;4;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;1.0;1.0;1.0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;2;0;0.6;1.0;0.7499999999999999
SQ_Soil_Temperature;SQ;2;0;0;0;0;7;7;7;0;0;1.0;1.0;1.0;1;1;1;1;1;1;4;4;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;1.0;1.0;1.0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;2;0;0.6;1.0;0.7499999999999999
SQ_Soil_Temperature;SQ;Final;0;0;0;0;7;7;7;0;0;1.0;1.0;1.0;1;1;1;1;1;1;4;4;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;1.0;1.0;1.0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;2;0;0.6;1.0;0.7499999999999999
Stics_soil_temperature;ST;1;0;0;0;0;6;6;6;0;0;1.0;1.0;1.0;2;1;3;1;0;0;1;1;0;0;0;0;4;4;1;0;0;0;0;0;0;0;1;1;2;1;1;1;1;0;0;1.0;1.0;1.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0.0;0;0
Stics_soil_temperature;ST;2;0;0;0;0;6;6;6;0;0;1.0;1.0;1.0;2;1;3;2;0;0;1;1;0;0;0;0;4;4;1;1;0;0;0;0;0;0;1;1;2;1;1;2;1;1;0;0.5;1.0;0.6666666666666666;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Stics_soil_temperature;ST;Final;0;0;0;0;6;6;6;0;0;1.0;1.0;1.0;2;1;3;2;0;0;1;1;0;0;0;0;4;4;1;1;0;0;0;0;0;0;1;1;2;1;1;2;1;1;0;0.5;1.0;0.6666666666666666;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
