Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
6;8;6;2;0;0.75;1.0;0.8571428571428571

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
air_temp_day1;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
layer_thick;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
temp_amp;OK;WRONG;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
prev_temp_profile;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
prev_canopy_temp;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
min_air_temp;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG

False positive
Name;inputtype;variablecategory;datatype
therm_diff;parameter;;DOUBLE
temp_freq;parameter;;DOUBLE

False negative
Name;inputtype;variablecategory;datatype


Outputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
1;1;1;0;0;1.0;1.0;1.0

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
temp_profile;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;OK;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype


Functions stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
0;0;0;0;0;0;0;0

True positive
Name

False positive
Name

False negative
Name

