Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
8;8;8;0;0;1.0;1.0;1.0

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
LayerThickness;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
LagCoefficient;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
SoilProfileDepth;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
SurfaceSoilTemperature;OK;WRONG;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
AirTemperatureAnnualAverage;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
SoilTemperatureByLayers;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
BulkDensity;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
VolumetricWaterContent;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype


Outputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
1;1;0;1;1;0.0;0.0;0

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri

False positive
Name;inputtype;variablecategory;datatype
updated_states_SoilTemperatureByLayers;;state;DOUBLELIST

False negative
Name;inputtype;variablecategory;datatype
SoilTemperatureByLayers;;state;DOUBLEARRAY


Functions stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
0;2;0;2;0;0.0;0;0

True positive
Name

False positive
Name
Init
Estimate

False negative
Name

