Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;79;79;0;0;1.0;1.0;1.0

True positive
volSpecHeatSoil;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
soilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
morningSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
heatStorage;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
thermalConductance;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
boundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
newTemperature;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
airTemperature;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
maxTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
minTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
minSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
maxSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
aveSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
instrumentHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
netRadiation;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
canopyHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype
thermalConductivity;;state;DOUBLEARRAY


Functions stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
8;41;8;33;0;0.1951219512195122;1.0;0.326530612244898

True positive
Name
getIniVariables
doProcess
calcSoilTemperature
calcSurfaceTemperature
readParam
getOtherVariables
getProfileVariables
ValuesInArray

False positive
Name
Sum
Divide
ToCumThickness
kelvinT
airDensity
longWaveRadn
volumetricSpecificHeat
volumetricFractionRocks
volumetricFractionOrganicMatter
volumetricFractionIce
volumetricFractionWater
volumetricFractionClay
volumetricFractionSilt
volumetricFractionSand
volumetricFractionAir
mapLayer2Node
ThermalConductance
shapeFactor
Zero
doVolumetricSpecificHeat
doThermalConductivity
getBoundaryLayerConductance
interpolateNetRadiation
interpolateTemperature
doThomas
doUpdate
doNetRadiation
doThermalConductivityCoeffs
math_pi
math_sin
math_cos
math_log
math_exp

False negative
Name

