Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;79;79;0;0;1.0;1.0;1.0

True positive
bulkDensity;OK;OK;OK;WRONG;OK;WRONG;OK;WRONG;OK
sand;OK;OK;OK;WRONG;WRONG;WRONG;OK;OK;OK
pom;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
silt;OK;OK;OK;WRONG;WRONG;WRONG;OK;OK;OK
clay;OK;OK;OK;WRONG;WRONG;WRONG;OK;OK;OK
soilRoughnessHeight;OK;OK;OK;OK;OK;WRONG;WRONG;OK;OK
instrumentHeight;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
netRadiation;OK;OK;OK;OK;OK;OK;WRONG;WRONG;OK
instrumHeight;WRONG;WRONG;OK;OK;OK;WRONG;WRONG;WRONG;OK
nu;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;OK
boundarLayerConductanceSource;OK;OK;WRONG;OK;OK;OK;OK;WRONG;OK
netRadiationSource;OK;OK;WRONG;OK;OK;OK;OK;WRONG;OK
MissingValue;OK;OK;OK;OK;OK;OK;WRONG;WRONG;OK
soilConstituentNames;OK;OK;WRONG;WRONG;OK;OK;WRONG;WRONG;OK

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype


Outputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
22;24;22;2;0;0.9166666666666666;1.0;0.9565217391304348

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
heatStorage;OK;OK;OK;WRONG;OK;WRONG;OK;WRONG;OK
instrumentHeight;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
canopyHeight;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
minSoilTemp;OK;OK;OK;WRONG;OK;OK;OK;WRONG;OK
maxSoilTemp;OK;OK;OK;WRONG;OK;OK;OK;WRONG;OK
aveSoilTemp;OK;OK;OK;WRONG;OK;OK;OK;WRONG;OK
volSpecHeatSoil;OK;OK;OK;WRONG;OK;WRONG;OK;WRONG;OK
soilTemp;OK;OK;OK;WRONG;OK;OK;OK;WRONG;OK
netRadiation;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
morningSoilTemp;OK;OK;OK;WRONG;OK;OK;OK;WRONG;OK
newTemperature;OK;OK;OK;WRONG;OK;OK;OK;WRONG;OK
thermalConductivity;OK;OK;OK;WRONG;OK;WRONG;OK;WRONG;OK
thermalConductance;OK;OK;OK;WRONG;OK;WRONG;OK;WRONG;OK
boundaryLayerConductance;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
maxTempYesterday;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
minTempYesterday;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
airTemperature;OK;OK;OK;OK;OK;OK;OK;WRONG;OK
internalTimeStep;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
InitialValues;OK;OK;OK;WRONG;OK;OK;OK;WRONG;OK
soilWater;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG;OK
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;OK

False positive
Name;inputtype;variablecategory;datatype
rocks;;state;DOUBLEARRAY
carbon;;state;DOUBLEARRAY

False negative
Name;inputtype;variablecategory;datatype


Functions stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
8;36;8;28;0;0.2222222222222222;1.0;0.3636363636363636

True positive
Name
getIniVariables
getProfileVariables
readParam
getOtherVariables
doProcess
calcSoilTemperature
calcSurfaceTemperature
ValuesInArray

False positive
Name
doThermalConductivityCoeffs
volumetricFractionOrganicMatter
volumetricFractionRocks
volumetricFractionIce
volumetricFractionWater
volumetricFractionClay
volumetricFractionSilt
volumetricFractionSand
kelvinT
Divide
Sum
volumetricSpecificHeat
volumetricFractionAir
airDensity
longWaveRadn
mapLayer2Node
ThermalConductance
shapeFactor
doUpdate
doThomas
getBoundaryLayerConductance
interpolateNetRadiation
interpolateTemperature
doThermalConductivity
doVolumetricSpecificHeat
Zero
doNetRadiation
ToCumThickness

False negative
Name

