Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;79;79;0;0;1.0;1.0;1.0

True positive
newTemperature;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
airTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
maxTempYesterday;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
minTempYesterday;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
minSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
maxSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
aveSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
aveSoilWater;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
bulkDensity;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
sand;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
pom;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
silt;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
clay;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
soilRoughnessHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
instrumentHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
netRadiation;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
instrumHeight;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
nu;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
boundarLayerConductanceSource;OK;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG
netRadiationSource;OK;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG
MissingValue;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
soilConstituentNames;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype


Outputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
22;22;22;0;0;1.0;1.0;1.0

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
heatStorage;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
instrumentHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
canopyHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
minSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
maxSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
aveSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
volSpecHeatSoil;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
soilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
morningSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
newTemperature;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
thermalConductivity;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
thermalConductance;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
boundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;WRONG
maxTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
minTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
airTemperature;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
internalTimeStep;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
netRadiation;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
InitialValues;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype


Functions stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
8;36;8;28;0;0.2222222222222222;1.0;0.3636363636363636

True positive
Name
getIniVariables
getProfileVariables
readParam
getOtherVariables
doProcess
calcSoilTemperature
calcSurfaceTemperature
ValuesInArray

False positive
Name
