Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;73;73;0;6;1.0;0.9240506329113924;0.9605263157894737

True positive
thermalConductivity;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
boundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
newTemperature;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
airTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
maxTempYesterday;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
minTempYesterday;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
minSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
maxSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
aveSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
bulkDensity;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
sand;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
silt;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
clay;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
soilRoughnessHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
instrumentHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
netRadiation;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype
ps;parameter;;DOUBLE
thermCondPar1;parameter;;DOUBLEARRAY
thermCondPar2;parameter;;DOUBLEARRAY
thermCondPar3;parameter;;DOUBLEARRAY
thermCondPar4;parameter;;DOUBLEARRAY
aveSoilWater;variable;state;DOUBLEARRAY


Outputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
22;22;22;0;0;1.0;1.0;1.0

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
InitialValues;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;WRONG
internalTimeStep;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
volSpecHeatSoil;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
soilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
morningSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
heatStorage;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
thermalConductance;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
thermalConductivity;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
boundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
newTemperature;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
airTemperature;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
maxTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
minTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
minSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
maxSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
aveSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
instrumentHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
netRadiation;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
canopyHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype


Functions stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
8;41;8;33;0;0.1951219512195122;1.0;0.326530612244898

True positive
Name
getIniVariables
Calculate_getProfileVariables
Calculate_readParam
Calculate_getOtherVariables
Calculate_doProcess
calcSoilTemperature
calcSurfaceTemperature
ValuesInArray

False positive
Name
Calculate_doThermalConductivityCoeffs
volumetricFractionOrganicMatter
volumetricFractionRocks
volumetricFractionIce
volumetricFractionWater
volumetricFractionClay
volumetricFractionSilt
volumetricFractionSand
kelvinT
Divide
Sum
volumetricSpecificHeat
volumetricFractionAir
airDensity
longWaveRadn
mapLayer2Node
ThermalConductance
shapeFactor
Calculate_doUpdate
Calculate_doThomas
Calculate_getBoundaryLayerConductance
math_log_safe
interpolateNetRadiation
interpolateTemperature
math_sin
doThermalConductivity
doVolumetricSpecificHeat
Zero
Calculate_doNetRadiation
ToCumThickness
math_exp_safe
init
process

False negative
Name

