Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;78;78;0;1;1.0;0.9873417721518988;0.9936305732484078

True positive
heatStorage;OK;OK;WRONG;WRONG;OK;WRONG;OK;OK;OK
thermalConductance;OK;OK;WRONG;WRONG;OK;WRONG;OK;OK;OK
thermalConductivity;OK;OK;WRONG;WRONG;OK;WRONG;OK;WRONG;OK
boundaryLayerConductance;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
newTemperature;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
airTemperature;OK;OK;OK;OK;OK;OK;WRONG;OK;OK
maxTempYesterday;OK;OK;OK;OK;OK;OK;WRONG;OK;OK
minTempYesterday;OK;OK;OK;OK;OK;OK;WRONG;OK;OK
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;OK
minSoilTemp;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
maxSoilTemp;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
aveSoilTemp;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
instrumentHeight;OK;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK
netRadiation;OK;OK;OK;OK;OK;OK;WRONG;OK;OK

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype
aveSoilWater;variable;state;DOUBLEARRAY


Outputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
22;22;22;0;0;1.0;1.0;1.0

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
InitialValues;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
doInitialisationStuff;OK;OK;WRONG;OK;OK;OK;OK;WRONG;OK
internalTimeStep;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;OK
volSpecHeatSoil;OK;OK;WRONG;WRONG;OK;WRONG;OK;OK;OK
soilTemp;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
morningSoilTemp;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
heatStorage;OK;OK;WRONG;WRONG;OK;WRONG;OK;OK;OK
thermalConductance;OK;OK;WRONG;WRONG;OK;WRONG;OK;OK;OK
thermalConductivity;OK;OK;WRONG;WRONG;OK;WRONG;OK;WRONG;OK
boundaryLayerConductance;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
newTemperature;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
airTemperature;OK;OK;OK;OK;OK;OK;OK;OK;OK
maxTempYesterday;OK;OK;OK;OK;OK;OK;OK;OK;OK
minTempYesterday;OK;OK;OK;OK;OK;OK;OK;OK;OK
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;OK
minSoilTemp;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
maxSoilTemp;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
aveSoilTemp;OK;OK;WRONG;WRONG;OK;OK;OK;OK;OK
instrumentHeight;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK
netRadiation;OK;OK;OK;OK;OK;OK;OK;OK;OK
canopyHeight;OK;OK;OK;OK;OK;WRONG;OK;WRONG;OK

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype


Functions stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
8;36;8;28;0;0.2222222222222222;1.0;0.3636363636363636

True positive
Name
getIniVariables
getProfileVariables
readParam
getOtherVariables
doProcess
calcSoilTemperature
calcSurfaceTemperature
ValuesInArray

False positive
Name
doThermalConductivityCoeffs
volumetricFractionOrganicMatter
volumetricFractionRocks
volumetricFractionIce
volumetricFractionWater
volumetricFractionClay
volumetricFractionSilt
volumetricFractionSand
kelvinT
Divide
Sum
volumetricSpecificHeat
volumetricFractionAir
airDensity
longWaveRadn
mapLayer2Node
ThermalConductance
shapeFactor
doUpdate
doThomas
getBoundaryLayerConductance
interpolateNetRadiation
interpolateTemperature
doThermalConductivity
doVolumetricSpecificHeat
Zero
doNetRadiation
ToCumThickness

False negative
Name

